Designator,Mid X,Mid Y,Layer,Rotation
C1,14.0000mm,23.0000mm,Top,0
C2,14.0000mm,27.0000mm,Top,0
C3,30.5000mm,9.0000mm,Top,0
C4,30.5000mm,11.5000mm,Top,0
C5,30.0500mm,37.0000mm,Top,0
C6,30.0000mm,23.0000mm,Top,0
C7,30.2250mm,30.5000mm,Top,0
C8,30.5000mm,6.0000mm,Top,0
J2,4.0250mm,11.1250mm,Top,0
J3,36.0000mm,6.2450mm,Top,0
J6,35.5000mm,17.0000mm,Top,180
J9,10.7475mm,7.9550mm,Top,0
Q1,9.3250mm,31.5000mm,Top,0
R1,30.1750mm,33.0000mm,Top,0
R2,13.5000mm,31.5000mm,Top,0
U1,26.5000mm,36.5000mm,Top,180
U2,9.0000mm,26.0000mm,Top,270
Y1,35.0000mm,28.5000mm,Top,90
